measure_name,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,val,upper,lower
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",7,Democratic People's Republic of Korea,1,Male,29,15+ years,-0.084728566,-0.009889939,-0.152958901
"% Change in Number of Smokers, 1990-2019",7,Democratic People's Republic of Korea,2,Female,29,15+ years,0.616243663,1.223215021,0.126226688
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",7,Democratic People's Republic of Korea,2,Female,29,15+ years,0.115611235,0.511871322,-0.20741688
"% Change in Number of Smokers, 1990-2019",7,Democratic People's Republic of Korea,3,Both,29,15+ years,0.504400059,0.624630395,0.386411243
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",7,Democratic People's Republic of Korea,3,Both,29,15+ years,0.004152104,0.086290316,-0.073982583
"% Change in Number of Smokers, 1990-2019",8,Taiwan (Province of China),1,Male,29,15+ years,0.102573265,0.19548137,0.017360029
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",8,Taiwan (Province of China),1,Male,29,15+ years,-0.181778159,-0.115172438,-0.242741553
"% Change in Number of Smokers, 1990-2019",8,Taiwan (Province of China),2,Female,29,15+ years,-0.096305067,0.247149851,-0.393944157
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",8,Taiwan (Province of China),2,Female,29,15+ years,-0.279160971,-0.009679441,-0.509570496
"% Change in Number of Smokers, 1990-2019",8,Taiwan (Province of China),3,Both,29,15+ years,0.074949929,0.167234276,-0.010033775
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",8,Taiwan (Province of China),3,Both,29,15+ years,-0.216845668,-0.152830013,-0.279222063
"% Change in Number of Smokers, 1990-2019",9,Southeast Asia,1,Male,29,15+ years,0.564767828,0.600482933,0.529441468
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",9,Southeast Asia,1,Male,29,15+ years,-0.125923691,-0.107466762,-0.14374278
"% Change in Number of Smokers, 1990-2019",9,Southeast Asia,2,Female,29,15+ years,0.3786165,0.544991919,0.229154513
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",9,Southeast Asia,2,Female,29,15+ years,-0.299282557,-0.219853288,-0.369980796
"% Change in Number of Smokers, 1990-2019",9,Southeast Asia,3,Both,29,15+ years,0.546621941,0.582846078,0.511468436
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",9,Southeast Asia,3,Both,29,15+ years,-0.132696679,-0.113687174,-0.152023259
"% Change in Number of Smokers, 1990-2019",10,Cambodia,1,Male,29,15+ years,0.909525018,1.050932598,0.775155909
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",10,Cambodia,1,Male,29,15+ years,-0.197100225,-0.147033726,-0.243174982
"% Change in Number of Smokers, 1990-2019",10,Cambodia,2,Female,29,15+ years,0.976729692,1.576695639,0.489838451
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",10,Cambodia,2,Female,29,15+ years,-0.139262478,0.10573548,-0.345729435
"% Change in Number of Smokers, 1990-2019",10,Cambodia,3,Both,29,15+ years,0.915291994,1.054399793,0.781757842
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",10,Cambodia,3,Both,29,15+ years,-0.156964159,-0.102522595,-0.209617071
"% Change in Number of Smokers, 1990-2019",11,Indonesia,1,Male,29,15+ years,0.838275041,0.907744923,0.76682583
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",11,Indonesia,1,Male,29,15+ years,0.069363563,0.106331582,0.031392334
"% Change in Number of Smokers, 1990-2019",11,Indonesia,2,Female,29,15+ years,0.972626158,1.607335677,0.480441414
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",11,Indonesia,2,Female,29,15+ years,0.079930445,0.391736251,-0.172197803
"% Change in Number of Smokers, 1990-2019",11,Indonesia,3,Both,29,15+ years,0.844303414,0.912838544,0.770116403
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",11,Indonesia,3,Both,29,15+ years,0.088640222,0.127474429,0.046510297
"% Change in Number of Smokers, 1990-2019",12,Lao People's Democratic Republic,1,Male,29,15+ years,1.490580547,1.716395926,1.282587592
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",12,Lao People's Democratic Republic,1,Male,29,15+ years,0.09060713,0.171799258,0.010518734
"% Change in Number of Smokers, 1990-2019",12,Lao People's Democratic Republic,2,Female,29,15+ years,1.761969166,2.716652531,0.945118296
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",12,Lao People's Democratic Republic,2,Female,29,15+ years,0.292652696,0.711826391,-0.062533376
"% Change in Number of Smokers, 1990-2019",12,Lao People's Democratic Republic,3,Both,29,15+ years,1.516122789,1.720677625,1.291786225
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",12,Lao People's Democratic Republic,3,Both,29,15+ years,0.1457271,0.230912297,0.048719496
"% Change in Number of Smokers, 1990-2019",13,Malaysia,1,Male,29,15+ years,0.729642912,0.877370482,0.586914143
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",13,Malaysia,1,Male,29,15+ years,-0.222921875,-0.160492004,-0.281012323
"% Change in Number of Smokers, 1990-2019",13,Malaysia,2,Female,29,15+ years,0.547066403,1.172538999,0.067208431
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",13,Malaysia,2,Female,29,15+ years,-0.26047476,0.010439215,-0.474585191
"% Change in Number of Smokers, 1990-2019",13,Malaysia,3,Both,29,15+ years,0.713763352,0.858813553,0.575495285
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",13,Malaysia,3,Both,29,15+ years,-0.199692144,-0.134536339,-0.259674033
"% Change in Number of Smokers, 1990-2019",14,Maldives,1,Male,29,15+ years,3.255248712,3.625898083,2.881917309
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",14,Maldives,1,Male,29,15+ years,-0.060161183,0.007921724,-0.132816376
"% Change in Number of Smokers, 1990-2019",14,Maldives,2,Female,29,15+ years,1.620058415,2.587752543,0.84517712
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",14,Maldives,2,Female,29,15+ years,-0.064846268,0.237592688,-0.328181704
"% Change in Number of Smokers, 1990-2019",14,Maldives,3,Both,29,15+ years,3.047348368,3.408440975,2.697947818
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",14,Maldives,3,Both,29,15+ years,0.049371224,0.133396658,-0.030260837
"% Change in Number of Smokers, 1990-2019",15,Myanmar,1,Male,29,15+ years,0.05212065,0.129671725,-0.023282876
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",15,Myanmar,1,Male,29,15+ years,-0.322051393,-0.277608962,-0.365861855
"% Change in Number of Smokers, 1990-2019",15,Myanmar,2,Female,29,15+ years,0.015094962,0.297280286,-0.203465164
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",15,Myanmar,2,Female,29,15+ years,-0.486871331,-0.352589773,-0.595611785
"% Change in Number of Smokers, 1990-2019",15,Myanmar,3,Both,29,15+ years,0.043669367,0.122733222,-0.030679447
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",15,Myanmar,3,Both,29,15+ years,-0.373641546,-0.3287885,-0.416725742
"% Change in Number of Smokers, 1990-2019",16,Philippines,1,Male,29,15+ years,0.475068641,0.577981912,0.383157883
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",16,Philippines,1,Male,29,15+ years,-0.288641625,-0.246221873,-0.329490557
"% Change in Number of Smokers, 1990-2019",16,Philippines,2,Female,29,15+ years,0.383253581,0.738284403,0.075030726
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",16,Philippines,2,Female,29,15+ years,-0.37724329,-0.226029002,-0.50661284
"% Change in Number of Smokers, 1990-2019",16,Philippines,3,Both,29,15+ years,0.457480826,0.5620018,0.362745391
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",16,Philippines,3,Both,29,15+ years,-0.300037289,-0.253871317,-0.343882331
"% Change in Number of Smokers, 1990-2019",17,Sri Lanka,1,Male,29,15+ years,-0.002394836,0.083119222,-0.079422942
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",17,Sri Lanka,1,Male,29,15+ years,-0.307802043,-0.249088038,-0.359511208
"% Change in Number of Smokers, 1990-2019",17,Sri Lanka,2,Female,29,15+ years,-0.04798583,0.3386891,-0.3358462
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",17,Sri Lanka,2,Female,29,15+ years,-0.406699231,-0.174082074,-0.58395374
"% Change in Number of Smokers, 1990-2019",17,Sri Lanka,3,Both,29,15+ years,-0.006507659,0.080994368,-0.081164213
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",17,Sri Lanka,3,Both,29,15+ years,-0.345231101,-0.289820578,-0.392495588
"% Change in Number of Smokers, 1990-2019",18,Thailand,1,Male,29,15+ years,0.123172157,0.188383851,0.062512562
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",18,Thailand,1,Male,29,15+ years,-0.255164311,-0.214672339,-0.294083173
"% Change in Number of Smokers, 1990-2019",18,Thailand,2,Female,29,15+ years,-0.058977631,0.212949199,-0.287088438
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",18,Thailand,2,Female,29,15+ years,-0.464627222,-0.314907782,-0.599067411
"% Change in Number of Smokers, 1990-2019",18,Thailand,3,Both,29,15+ years,0.103029016,0.167605112,0.042778446
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",18,Thailand,3,Both,29,15+ years,-0.276785985,-0.236194945,-0.315477341
"% Change in Number of Smokers, 1990-2019",19,Timor-Leste,1,Male,29,15+ years,0.770761358,0.878839893,0.660739985
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",19,Timor-Leste,1,Male,29,15+ years,0.014884252,0.067099712,-0.035500918
"% Change in Number of Smokers, 1990-2019",19,Timor-Leste,2,Female,29,15+ years,0.95342655,1.694305672,0.388914174
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",19,Timor-Leste,2,Female,29,15+ years,-0.04146391,0.268997308,-0.30149763
"% Change in Number of Smokers, 1990-2019",19,Timor-Leste,3,Both,29,15+ years,0.780671394,0.889020044,0.675654435
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",19,Timor-Leste,3,Both,29,15+ years,-0.00857592,0.044230866,-0.05846746
"% Change in Number of Smokers, 1990-2019",20,Viet Nam,1,Male,29,15+ years,0.631684044,0.719777872,0.546464331
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",20,Viet Nam,1,Male,29,15+ years,-0.203458766,-0.163252163,-0.242139991
"% Change in Number of Smokers, 1990-2019",20,Viet Nam,2,Female,29,15+ years,0.459718317,0.909359247,0.070463609
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",20,Viet Nam,2,Female,29,15+ years,-0.329048503,-0.133909955,-0.501909951
"% Change in Number of Smokers, 1990-2019",20,Viet Nam,3,Both,29,15+ years,0.620112238,0.703013986,0.53391018
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",20,Viet Nam,3,Both,29,15+ years,-0.172608557,-0.131100595,-0.214393881
"% Change in Number of Smokers, 1990-2019",21,Oceania,1,Male,29,15+ years,0.883238639,1.013858632,0.763595031
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",21,Oceania,1,Male,29,15+ years,-0.148951797,-0.095408656,-0.19710992
"% Change in Number of Smokers, 1990-2019",21,Oceania,2,Female,29,15+ years,0.844349839,1.256346424,0.489925772
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",21,Oceania,2,Female,29,15+ years,-0.177155353,-0.012258051,-0.320599724
"% Change in Number of Smokers, 1990-2019",21,Oceania,3,Both,29,15+ years,0.868916303,1.020174431,0.731984917
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",21,Oceania,3,Both,29,15+ years,-0.161374814,-0.09786718,-0.218027929
"% Change in Number of Smokers, 1990-2019",22,Fiji,1,Male,29,15+ years,0.168480127,0.266029477,0.072005004
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",22,Fiji,1,Male,29,15+ years,-0.147759377,-0.079730764,-0.215531309
"% Change in Number of Smokers, 1990-2019",22,Fiji,2,Female,29,15+ years,0.058799808,0.394367771,-0.202703217
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",22,Fiji,2,Female,29,15+ years,-0.189145414,0.062729054,-0.383635856
"% Change in Number of Smokers, 1990-2019",22,Fiji,3,Both,29,15+ years,0.136519776,0.247127093,0.028346779
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",22,Fiji,3,Both,29,15+ years,-0.156986656,-0.074962104,-0.234605676
"% Change in Number of Smokers, 1990-2019",23,Kiribati,1,Male,29,15+ years,0.806799421,0.922257004,0.69565985
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",23,Kiribati,1,Male,29,15+ years,0.069765798,0.132443452,0.009762532
"% Change in Number of Smokers, 1990-2019",23,Kiribati,2,Female,29,15+ years,0.79245935,1.201570225,0.456710891
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",23,Kiribati,2,Female,29,15+ years,0.006805355,0.213039076,-0.166794659
"% Change in Number of Smokers, 1990-2019",23,Kiribati,3,Both,29,15+ years,0.798250172,0.970838459,0.646572828
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",23,Kiribati,3,Both,29,15+ years,0.039295073,0.132442453,-0.038543029
"% Change in Number of Smokers, 1990-2019",24,Marshall Islands,1,Male,29,15+ years,0.634719138,0.853308294,0.442135079
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",24,Marshall Islands,1,Male,29,15+ years,0.030949772,0.153356045,-0.078383958
"% Change in Number of Smokers, 1990-2019",24,Marshall Islands,2,Female,29,15+ years,1.139730114,2.040558873,0.482429869
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",24,Marshall Islands,2,Female,29,15+ years,0.271448847,0.757458235,-0.091914285
"% Change in Number of Smokers, 1990-2019",24,Marshall Islands,3,Both,29,15+ years,0.7140659,0.934406222,0.519056441
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",24,Marshall Islands,3,Both,29,15+ years,0.070697749,0.197472619,-0.043384765
"% Change in Number of Smokers, 1990-2019",25,Micronesia (Federated States of),1,Male,29,15+ years,0.284132952,0.371347751,0.2012798
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",25,Micronesia (Federated States of),1,Male,29,15+ years,0.037253166,0.09827007,-0.023835025
"% Change in Number of Smokers, 1990-2019",25,Micronesia (Federated States of),2,Female,29,15+ years,0.410873014,0.751205689,0.126442951
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",25,Micronesia (Federated States of),2,Female,29,15+ years,0.1243026,0.354520505,-0.095232383
"% Change in Number of Smokers, 1990-2019",25,Micronesia (Federated States of),3,Both,29,15+ years,0.324683696,0.441645451,0.212380754
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",25,Micronesia (Federated States of),3,Both,29,15+ years,0.062893269,0.145579106,-0.019103749
"% Change in Number of Smokers, 1990-2019",26,Papua New Guinea,1,Male,29,15+ years,1.114742469,1.313972626,0.931458809
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",26,Papua New Guinea,1,Male,29,15+ years,-0.173404496,-0.102180163,-0.238716373
"% Change in Number of Smokers, 1990-2019",26,Papua New Guinea,2,Female,29,15+ years,1.046868951,1.70189774,0.529434333
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",26,Papua New Guinea,2,Female,29,15+ years,-0.21180973,0.008436751,-0.386682602
"% Change in Number of Smokers, 1990-2019",26,Papua New Guinea,3,Both,29,15+ years,1.087904369,1.314738585,0.885607647
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",26,Papua New Guinea,3,Both,29,15+ years,-0.190367049,-0.109384399,-0.26170686
"% Change in Number of Smokers, 1990-2019",27,Samoa,1,Male,29,15+ years,0.286753675,0.406486405,0.171196729
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",27,Samoa,1,Male,29,15+ years,-0.114153553,-0.043463449,-0.184323839
"% Change in Number of Smokers, 1990-2019",27,Samoa,2,Female,29,15+ years,0.28444707,0.669969544,-0.036460832
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",27,Samoa,2,Female,29,15+ years,-0.116449833,0.130681242,-0.324981625
"% Change in Number of Smokers, 1990-2019",27,Samoa,3,Both,29,15+ years,0.282574596,0.416748023,0.145902254
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",27,Samoa,3,Both,29,15+ years,-0.117800537,-0.03515799,-0.198026557
"% Change in Number of Smokers, 1990-2019",28,Solomon Islands,1,Male,29,15+ years,1.200016614,1.38618487,1.035741884
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",28,Solomon Islands,1,Male,29,15+ years,0.039005354,0.116938555,-0.029197947
"% Change in Number of Smokers, 1990-2019",28,Solomon Islands,2,Female,29,15+ years,1.363626693,2.109839875,0.767129017
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",28,Solomon Islands,2,Female,29,15+ years,0.06997967,0.360004876,-0.163803424
"% Change in Number of Smokers, 1990-2019",28,Solomon Islands,3,Both,29,15+ years,1.235266752,1.458555847,1.028955233
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",28,Solomon Islands,3,Both,29,15+ years,0.024848767,0.110083744,-0.06367772
"% Change in Number of Smokers, 1990-2019",29,Tonga,1,Male,29,15+ years,-0.082309442,-0.014499273,-0.142747426
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",29,Tonga,1,Male,29,15+ years,-0.223394357,-0.172007401,-0.269559057
"% Change in Number of Smokers, 1990-2019",29,Tonga,2,Female,29,15+ years,0.19497929,0.495506546,-0.069854667
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",29,Tonga,2,Female,29,15+ years,-0.012098954,0.221040144,-0.205603071
"% Change in Number of Smokers, 1990-2019",29,Tonga,3,Both,29,15+ years,-0.026104927,0.050041774,-0.102146827
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",29,Tonga,3,Both,29,15+ years,-0.182494705,-0.123115629,-0.234035279
"% Change in Number of Smokers, 1990-2019",30,Vanuatu,1,Male,29,15+ years,0.858304579,1.036871422,0.683164542
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",30,Vanuatu,1,Male,29,15+ years,-0.118113164,-0.038965564,-0.193602627
"% Change in Number of Smokers, 1990-2019",30,Vanuatu,2,Female,29,15+ years,0.772343253,1.590807351,0.160854271
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",30,Vanuatu,2,Female,29,15+ years,-0.178217611,0.142217684,-0.433823299
"% Change in Number of Smokers, 1990-2019",30,Vanuatu,3,Both,29,15+ years,0.839587209,1.039581856,0.656039214
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",30,Vanuatu,3,Both,29,15+ years,-0.145948008,-0.061704997,-0.219977394
"% Change in Number of Smokers, 1990-2019",31,"Central Europe, Eastern Europe, and Central Asia",1,Male,29,15+ years,-0.14992738,-0.133062363,-0.167864091
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",31,"Central Europe, Eastern Europe, and Central Asia",1,Male,29,15+ years,-0.215776529,-0.200097234,-0.231912703
"% Change in Number of Smokers, 1990-2019",31,"Central Europe, Eastern Europe, and Central Asia",2,Female,29,15+ years,0.007098278,0.072965011,-0.053238014
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",31,"Central Europe, Eastern Europe, and Central Asia",2,Female,29,15+ years,-0.043670527,0.019953163,-0.102073467
"% Change in Number of Smokers, 1990-2019",31,"Central Europe, Eastern Europe, and Central Asia",3,Both,29,15+ years,-0.110512718,-0.08884275,-0.129200511
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",31,"Central Europe, Eastern Europe, and Central Asia",3,Both,29,15+ years,-0.16607772,-0.145943446,-0.183795666
"% Change in Number of Smokers, 1990-2019",32,Central Asia,1,Male,29,15+ years,0.39092638,0.436348567,0.345338143
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",32,Central Asia,1,Male,29,15+ years,-0.123297937,-0.096113871,-0.150772565
"% Change in Number of Smokers, 1990-2019",32,Central Asia,2,Female,29,15+ years,0.447069905,0.665854773,0.228128809
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",32,Central Asia,2,Female,29,15+ years,-0.05971468,0.077770632,-0.196816095
"% Change in Number of Smokers, 1990-2019",32,Central Asia,3,Both,29,15+ years,0.396149116,0.440711035,0.349147507
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",32,Central Asia,3,Both,29,15+ years,-0.110351355,-0.083448761,-0.13904021
"% Change in Number of Smokers, 1990-2019",33,Armenia,1,Male,29,15+ years,-0.079529226,-0.030595095,-0.129423721
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",33,Armenia,1,Male,29,15+ years,-0.084181785,-0.03889631,-0.131470033
"% Change in Number of Smokers, 1990-2019",33,Armenia,2,Female,29,15+ years,-0.002065605,0.406027185,-0.306778009
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",33,Armenia,2,Female,29,15+ years,-0.051909718,0.349661535,-0.339027691
"% Change in Number of Smokers, 1990-2019",33,Armenia,3,Both,29,15+ years,-0.076208619,-0.025873048,-0.126954802
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",33,Armenia,3,Both,29,15+ years,-0.084810894,-0.036826386,-0.134245232
"% Change in Number of Smokers, 1990-2019",34,Azerbaijan,1,Male,29,15+ years,0.734823198,0.877960731,0.604425752
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",34,Azerbaijan,1,Male,29,15+ years,-0.015467348,0.057780536,-0.085029161
"% Change in Number of Smokers, 1990-2019",34,Azerbaijan,2,Female,29,15+ years,1.080163431,2.143937118,0.339196507
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",34,Azerbaijan,2,Female,29,15+ years,0.30825148,0.917134096,-0.136508932
"% Change in Number of Smokers, 1990-2019",34,Azerbaijan,3,Both,29,15+ years,0.749021909,0.885885309,0.623132085
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",34,Azerbaijan,3,Both,29,15+ years,0.03064623,0.107190434,-0.03923654
"% Change in Number of Smokers, 1990-2019",35,Georgia,1,Male,29,15+ years,-0.255829346,-0.200901063,-0.303445822
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",35,Georgia,1,Male,29,15+ years,0.057969903,0.136225717,-0.009333373
"% Change in Number of Smokers, 1990-2019",35,Georgia,2,Female,29,15+ years,-0.277614315,-0.058688031,-0.453767734
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",35,Georgia,2,Female,29,15+ years,0.113156188,0.451869966,-0.1674532
"% Change in Number of Smokers, 1990-2019",35,Georgia,3,Both,29,15+ years,-0.259739197,-0.208258559,-0.309364463
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",35,Georgia,3,Both,29,15+ years,0.091503996,0.168081583,0.019764852
"% Change in Number of Smokers, 1990-2019",36,Kazakhstan,1,Male,29,15+ years,0.040510431,0.102418802,-0.020896542
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",36,Kazakhstan,1,Male,29,15+ years,-0.148987966,-0.100471167,-0.198760519
"% Change in Number of Smokers, 1990-2019",36,Kazakhstan,2,Female,29,15+ years,0.21522909,0.577476037,-0.11860086
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",36,Kazakhstan,2,Female,29,15+ years,0.028835184,0.331123661,-0.25315685
"% Change in Number of Smokers, 1990-2019",36,Kazakhstan,3,Both,29,15+ years,0.063117184,0.135205759,-0.004780516
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",36,Kazakhstan,3,Both,29,15+ years,-0.124008148,-0.065003218,-0.178490465
"% Change in Number of Smokers, 1990-2019",37,Kyrgyzstan,1,Male,29,15+ years,0.53874802,0.634293078,0.449842491
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",37,Kyrgyzstan,1,Male,29,15+ years,-0.053862684,-0.002505662,-0.104541514
"% Change in Number of Smokers, 1990-2019",37,Kyrgyzstan,2,Female,29,15+ years,1.450330992,2.403243007,0.754497322
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",37,Kyrgyzstan,2,Female,29,15+ years,0.490025896,1.053819318,0.075168659
"% Change in Number of Smokers, 1990-2019",37,Kyrgyzstan,3,Both,29,15+ years,0.598373722,0.704778377,0.501821272
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",37,Kyrgyzstan,3,Both,29,15+ years,-0.016707095,0.042009974,-0.073039439
"% Change in Number of Smokers, 1990-2019",38,Mongolia,1,Male,29,15+ years,1.206521645,1.372963689,1.060383025
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",38,Mongolia,1,Male,29,15+ years,0.110348372,0.184944141,0.042382646
